name,content,traffic_information,display_addr,poi_addr,lat_lon
臺北市政府警察局總局,臺北市政府警察局總局,,臺北市延平南路96號,台北市延平南路96號,"25.0439111,121.50976880000007"
大同分局,大同分局,,臺北市錦西街200號,台北市錦西街200號,"25.059372,121.51509060000001"
萬華分局,萬華分局,,臺北市康定路22號,台北市康定路22號,"25.045123,121.50293099999999"
中山分局,中山分局,,臺北市中山北路二段1號,台北市中山北路二段1號,"25.0524875,121.52284199999997"
大安分局,大安分局,,臺北市仁愛路三段2號,台北市仁愛路三段2號,"25.0378724,121.53310599999998"
中正第一分局,中正第一分局,,臺北市公園路15號,台北市公園路15號,"25.067751,121.3667087"
中正第二分局,中正第二分局,,臺北市南海路35號,台北市南海路35號,"25.0320412,121.51397459999998"
松山分局,松山分局,,臺北市南京東路四段12號,台北市南京東路四段12號,"25.051286,121.55239400000005"
信義分局,信義分局,,臺北市信義路五段17號,台北市信義路五段17號,"25.0331408,121.56803339999999"
士林分局,士林分局,,臺北市文林路235號,台北市文林路235號,"25.0906919,121.5266752"
北投分局,北投分局,,臺北市中央北路一段1號,台北市中央北路一段1號,"25.1333343,121.50142929999993"
文山第一分局,文山第一分局,,臺北市木柵路二段202號,台北市木柵路二段202號,"24.9887889,121.5635456"
文山第二分局,文山第二分局,,臺北市景中街2號,台北市景中街2號,"24.9928162,121.54104170000005"
南港分局,南港分局,,臺北市向陽路150號,台北市向陽路150號,"25.0553339,121.59487009999998"
內湖分局,內湖分局,,臺北市民權東路六段101號,台北市民權東路六段101號,"25.0691894,121.589565"
刑事警察大隊,刑事警察大隊,,臺北市武昌街一段69號,台北市武昌街一段69號,"25.0442461,121.50999550000006"
保安警察大隊,保安警察大隊,,臺北市延壽街339號,台北市延壽街339號,"25.0567995,121.55961730000001"
交通警察大隊,交通警察大隊,,臺北市北平東路1號,台北市北平東路1號,"25.0472691,121.52067490000002"
少年警察隊,少年警察隊,,臺北市信義路五段180號,台北市信義路五段180號,"25.0330948,121.57431840000004"
婦幼警察隊,婦幼警察隊,,臺北市信義路五段180號,台北市信義路五段180號,"25.0330948,121.57431840000004"
捷運警察隊,捷運警察隊,,臺北市華陰街32號,台北市華陰街32號,"25.0492476,121.51873309999996"
通信隊,通信隊,,臺北市延平南路96號,台北市延平南路96號,"25.0439111,121.50976880000007"
寧夏路派出所,隸屬大同分局,,臺北市錦西街200號,台北市錦西街200號,"25.059372,121.51509060000001"
民族路派出所,隸屬大同分局,,臺北市重慶北路三段168號,台北市重慶北路三段168號,"25.0688292,121.51348029999997"
大橋派出所,隸屬大同分局,,臺北市延平北路三段2號,台北市延平北路三段2號,"25.0632792,121.51084560000004"
重慶北路派出所,隸屬大同分局,,臺北市重慶北路三段320-2號,台北市重慶北路三段320-2號,"25.0753508,121.51355339999998"
延平派出所,隸屬大同分局,,臺北市延平北路一段86號,台北市延平北路一段86號,"25.0521655,121.5116931"
民生西路派出所,隸屬大同分局,,臺北市保安街47-1號,台北市保安街47-1號,"25.0592239,121.51205400000003"
雙連派出所,隸屬大同分局,,臺北市民生西路198號,台北市民生西路198號,"25.0570355,121.51684039999998"
建成派出所,隸屬大同分局,,臺北市承德路一段80號,台北市承德路一段80號,"25.0527926,121.51729469999998"
漢中街派出所,隸屬萬華分局,,臺北市漢中街122號,台北市漢中街122號,"25.0420955,121.50734970000008"
桂林路派出所,隸屬萬華分局,,臺北市萬華區西園路1段156之1號,台北市萬華區西園路1段156之1號,"25.0372254,121.49935189999997"
昆明街派出所,隸屬萬華分局,,臺北市昆明街245號,台北市昆明街245號,"25.0378338,121.50393540000005"
康定路派出所,隸屬萬華分局,,臺北市和平西路三段112號,台北市和平西路三段112號,"25.0350824,121.50051029999997"
東園街派出所,隸屬萬華分局,,臺北市長泰街130號,台北市長泰街130號,"25.0223948,121.49820810000006"
西園路派出所,隸屬萬華分局,,臺北市東園街17號,台北市東園街17號,"25.0280848,121.49566589999995"
大理街派出所,隸屬萬華分局,,臺北市大理街99號,台北市大理街99號,"25.0344029,121.49829790000001"
華江派出所,隸屬萬華分局,,臺北市環河南路二段196號,台北市環河南路二段196號,"25.0342853,121.49321770000006"
莒光派出所,隸屬萬華分局,,臺北市莒光路171號,台北市莒光路171號,"25.0311124,121.50276129999997"
武昌街派出所,隸屬萬華分局,,臺北市西寧南路4號,台北市西寧南路4號,"25.0479004,121.50696909999999"
青年路派出所,隸屬萬華分局,,臺北市萬大路423巷114號,台北市萬大路423巷114號,"25.0219144,121.50217659999998"
中山一派出所,隸屬中山分局,,臺北市中山北路一段110號,台北市中山北路一段110號,"25.0500057,121.52143109999997"
中山二派出所,隸屬中山分局,,臺北市中山北路二段90號,台北市中山北路二段90號,"25.0577524,121.52261729999998"
圓山派出所,隸屬中山分局,,臺北市中山北路三段62號,台北市中山北路三段62號,"25.0683427,121.52296000000001"
長春路派出所,隸屬中山分局,,臺北市長春路206號,台北市長春路206號,"25.0546395,121.53604719999998"
長安東路派出所,隸屬中山分局,,臺北市長安東路二段165號,台北市長安東路二段165號,"25.0483506,121.54042149999998"
民權一派出所,隸屬中山分局,,臺北市新生北路二段127-1號,台北市新生北路二段127-1號,"25.0599554,121.52794449999999"
建國派出所,隸屬中山分局,,臺北市民族東路284號,台北市民族東路284號,"25.0680074,121.53604730000006"
大直派出所,隸屬中山分局,,臺北市北安路456號,台北市北安路456號,"25.0795106,121.54412400000001"
新生南路派出所,隸屬大安分局,,臺北市仁愛路三段18號,台北市仁愛路三段18號,"25.0378152,121.53401159999999"
和平東路派出所,隸屬大安分局,,臺北市和平東路一段143號,台北市和平東路一段143號,"25.0266151,121.53050910000002"
安和路派出所,隸屬大安分局,,臺北市信義路四段216號,台北市信義路四段216號,"25.0329951,121.55218509999997"
