里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市萬華區和德里,4,3,8,11,39,100%,99%,65,75.38%,24.62%,15%,71%,14%
臺北市士林區社新里,3,2,5,16,25,91%,0%,51,64.71%,35.29%,10%,78%,12%
臺北市文山區明義里,1,2,3,19,25,100%,100%,50,82.00%,18.00%,6%,86%,8%
臺北市內湖區五分里,3,1,6,15,24,97%,96%,49,75.51%,24.49%,18%,78%,4%
臺北市文山區順興里,1,5,5,16,20,54%,0%,47,55.32%,42.55%,11%,70%,19%
臺北市大同區鄰江里,3,7,2,16,19,94%,0%,47,68.09%,31.91%,9%,72%,19%
臺北市中山區朱園里,,1,,13,30,0%,0%,44,70.45%,29.55%,9%,80%,11%
臺北市北投區溫泉里,3,1,2,21,16,0%,1%,43,67.44%,32.56%,7%,84%,9%
臺北市南港區成福里,1,1,1,10,29,71%,1%,42,83.33%,16.67%,2%,88%,10%
臺北市北投區永和里,1,6,5,11,18,34%,63%,41,73.17%,26.83%,20%,73%,7%
臺北市大同區雙連里,1,1,6,11,22,78%,0%,41,65.85%,31.71%,12%,63%,24%
臺北市士林區福順里,2,1,6,13,19,97%,81%,41,48.78%,51.22%,12%,63%,24%
臺北市士林區福華里,3,6,4,9,19,78%,1%,41,63.41%,31.71%,24%,61%,15%
臺北市松山區吉祥里,1,4,1,13,20,0%,0%,39,69.23%,28.21%,8%,79%,13%
臺北市中正區忠勤里,,6,1,13,19,97%,1%,39,69.23%,30.77%,15%,64%,21%
臺北市士林區永倫里,1,2,2,13,21,91%,0%,39,61.54%,38.46%,10%,74%,15%
臺北市松山區安平里,1,2,4,11,20,78%,1%,38,65.79%,34.21%,8%,82%,11%
臺北市北投區關渡里,2,,2,19,15,86%,81%,38,71.05%,28.95%,21%,71%,8%
臺北市北投區清江里,1,1,3,12,21,99%,93%,38,68.42%,28.95%,13%,79%,8%
臺北市內湖區港墘里,,,1,11,26,0%,0%,38,60.53%,39.47%,13%,82%,5%
臺北市士林區天玉里,,,7,6,25,71%,0%,38,68.42%,28.95%,3%,61%,37%
臺北市南港區九如里,4,3,2,15,13,0%,0%,37,67.57%,32.43%,19%,65%,16%
臺北市文山區試院里,1,7,3,10,15,71%,0%,36,58.33%,38.89%,8%,67%,25%
臺北市內湖區樂康里,,1,2,12,21,86%,0%,36,63.89%,36.11%,0%,81%,19%
臺北市士林區後港里,2,3,1,13,17,86%,63%,36,72.22%,27.78%,8%,78%,14%
臺北市松山區慈祐里,,,3,9,23,54%,0%,35,65.71%,31.43%,6%,89%,6%
臺北市北投區中心里,1,1,1,11,21,54%,1%,35,74.29%,25.71%,9%,80%,11%
臺北市大安區龍生里,,1,3,8,23,54%,0%,35,62.86%,37.14%,20%,74%,6%
臺北市士林區芝山里,,3,1,13,18,34%,63%,35,82.86%,17.14%,6%,91%,3%
臺北市松山區復盛里,3,,2,12,17,0%,0%,34,64.71%,32.35%,6%,71%,24%
臺北市松山區莊敬里,1,7,,14,12,78%,0%,34,79.41%,20.59%,12%,79%,9%
臺北市內湖區瑞陽里,4,4,2,8,16,54%,1%,34,82.35%,14.71%,15%,76%,9%
臺北市中山區晴光里,2,2,3,6,21,54%,81%,34,76.47%,23.53%,24%,71%,6%
臺北市士林區社園里,,2,6,13,13,91%,0%,34,76.47%,23.53%,6%,71%,24%
臺北市士林區明勝里,,1,2,14,17,94%,81%,34,41.18%,58.82%,6%,74%,21%
臺北市萬華區華江里,1,6,3,9,14,86%,0%,33,72.73%,27.27%,15%,73%,12%
臺北市信義區泰和里,1,3,2,13,14,71%,63%,33,63.64%,33.33%,6%,73%,21%
臺北市文山區興旺里,1,2,1,12,17,34%,0%,33,69.70%,30.30%,6%,58%,36%
臺北市文山區木新里,3,5,1,13,11,0%,0%,33,63.64%,36.36%,3%,73%,24%
臺北市信義區三張里,3,1,6,10,12,34%,1%,32,59.38%,40.63%,6%,78%,16%
臺北市松山區民福里,1,2,2,12,15,91%,1%,32,59.38%,40.63%,13%,75%,13%
臺北市文山區萬美里,1,7,2,9,13,86%,96%,32,68.75%,25.00%,0%,97%,3%
臺北市文山區萬芳里,4,2,5,9,12,86%,63%,32,65.63%,34.38%,6%,88%,6%
臺北市內湖區港富里,3,,2,12,15,0%,0%,32,75.00%,21.88%,13%,75%,13%
臺北市內湖區西康里,1,,1,10,20,0%,1%,32,56.25%,43.75%,22%,72%,6%
臺北市大同區星明里,,2,3,12,15,71%,1%,32,59.38%,40.63%,3%,75%,22%
臺北市大同區至聖里,1,2,2,11,16,71%,63%,32,75.00%,21.88%,9%,75%,16%
臺北市南港區舊莊里,1,,2,5,23,78%,0%,31,67.74%,32.26%,10%,77%,13%
臺北市信義區中行里,2,1,1,18,9,54%,0%,31,70.97%,29.03%,6%,84%,10%
臺北市文山區華興里,1,2,3,9,16,78%,0%,31,64.52%,35.48%,6%,90%,3%
臺北市內湖區葫洲里,,1,1,11,18,34%,0%,31,61.29%,35.48%,16%,74%,10%
臺北市內湖區安泰里,,4,5,6,16,97%,63%,31,74.19%,25.81%,23%,65%,13%
臺北市中山區劍潭里,1,2,4,10,14,34%,0%,31,64.52%,35.48%,3%,84%,13%
臺北市中山區中山里,1,1,2,6,21,34%,0%,31,74.19%,25.81%,0%,87%,13%
臺北市大同區南芳里,2,,2,9,18,97%,99%,31,77.42%,22.58%,3%,77%,19%
臺北市萬華區興德里,,3,,9,18,91%,1%,30,73.33%,26.67%,7%,77%,17%
臺北市信義區松友里,1,2,1,12,14,54%,0%,30,76.67%,23.33%,10%,80%,10%
臺北市松山區東光里,,1,2,6,21,91%,81%,30,73.33%,23.33%,10%,80%,10%
臺北市北投區開明里,1,2,2,15,10,54%,81%,30,63.33%,33.33%,23%,73%,3%
臺北市北投區一德里,3,,3,12,12,54%,81%,30,76.67%,20.00%,7%,63%,30%
臺北市內湖區港華里,1,1,1,11,16,0%,1%,30,70.00%,30.00%,7%,87%,7%
臺北市內湖區清白里,1,,1,7,21,71%,93%,30,50.00%,50.00%,3%,70%,27%
臺北市大安區通安里,1,,6,7,16,0%,0%,30,60.00%,36.67%,10%,80%,10%
臺北市大同區玉泉里,1,2,1,13,13,0%,0%,30,70.00%,30.00%,7%,93%,0%
臺北市南港區合成里,2,2,2,8,15,0%,0%,29,68.97%,31.03%,10%,76%,14%
臺北市北投區榮華里,,2,3,7,17,0%,0%,29,79.31%,13.79%,3%,59%,38%
臺北市北投區振華里,3,1,,11,14,34%,1%,29,79.31%,20.69%,21%,59%,21%
臺北市文山區興福里,,2,4,9,14,34%,1%,29,72.41%,27.59%,21%,66%,14%
臺北市內湖區紫星里,1,7,1,5,15,0%,0%,29,72.41%,27.59%,7%,66%,28%
臺北市內湖區西湖里,,1,3,15,10,0%,1%,29,75.86%,24.14%,7%,79%,14%
臺北市大同區延平里,2,1,,7,19,54%,81%,29,62.07%,37.93%,14%,83%,3%
臺北市士林區舊佳里,1,4,2,11,11,0%,0%,29,68.97%,31.03%,31%,69%,0%
臺北市士林區名山里,,,3,11,15,0%,0%,29,68.97%,31.03%,14%,76%,10%
臺北市士林區天和里,1,2,2,7,17,95%,96%,29,44.83%,55.17%,14%,76%,10%
臺北市萬華區錦德里,,2,3,9,14,71%,1%,28,60.71%,35.71%,18%,61%,21%
臺北市萬華區壽德里,1,,1,9,17,78%,63%,28,60.71%,39.29%,21%,61%,18%
臺北市萬華區頂碩里,,,,11,17,34%,0%,28,71.43%,28.57%,7%,89%,4%
臺北市南港區東新里,,1,3,9,15,54%,63%,28,60.71%,39.29%,21%,54%,25%
臺北市信義區黎平里,,3,2,8,15,34%,0%,28,67.86%,32.14%,7%,93%,0%
臺北市中山區圓山里,1,,,7,20,0%,0%,28,75.00%,21.43%,7%,86%,7%
臺北市士林區福安里,,1,1,12,14,78%,0%,28,57.14%,42.86%,7%,79%,14%
臺北市士林區社子里,3,2,2,13,8,95%,81%,28,89.29%,10.71%,0%,89%,11%
臺北市萬華區日善里,1,2,5,10,9,78%,1%,27,66.67%,33.33%,11%,63%,26%
臺北市北投區奇岩里,2,,3,9,13,91%,1%,27,59.26%,40.74%,22%,70%,7%
