,town,avg_predict,,
1,愛國里,1.18233333333333,,
2,安湖里,1.24674460934931,,
3,安康里,1.30718692683069,,
4,安平里,1.1877240144844,,
5,安泰里,1.29109504847218,,
6,八仙里,1.3268273346,,
7,百福里,1.3530280609761,,
8,百齡里,1.24062756026854,,
9,板溪里,1.30302144454074,,
10,保安里,1.34383501105166,,
11,保德里,1.2692,,
12,寶湖里,1.18203833187015,,
13,北安里,1.17416666666667,,
14,碧山里,1.29821844087762,,
15,博嘉里,1.35889601784788,,
16,菜園里,1.27525120436724,,
17,昌隆里,1.33151679363402,,
18,朝陽里,1.20747215872441,,
19,車層里,1.37392175401353,,
20,成福里,1.37500860181489,,
21,成功里,1.19398298953466,,
22,承德里,1.29194946128805,,
23,誠安里,1.29443700468538,,
24,慈祐里,1.21825175628394,,
25,翠山里,1.30374714204877,,
26,大道里,1.27421188283472,,
27,大湖里,1.43439306191076,,
28,大仁里,1.23903049272785,,
29,大同里,1.24376353315246,,
30,大學里,1.25553119412751,,
31,大有里,1.3096375084333,,
32,大直里,1.32822675072476,,
33,稻香里,1.28352612684968,,
34,德安里,1.20945550566249,,
35,德華里,1.21139633699634,,
36,德行里,1.26259696946978,,
37,頂東里,1.19625786432249,,
38,頂碩里,1.31004477516425,,
39,東昌里,1.30004377289377,,
40,東光里,1.23975745711054,,
41,東湖里,1.31120953585814,,
42,東華里,1.1778729004329,,
43,東門里,1.42113057255782,,
44,東明里,1.23542951639766,,
45,東榮里,1.65195567267422,,
46,東山里,1.44673261904762,,
47,東勢里,1.60210714273543,,
48,東新里,1.33898173311879,,
49,敦安里,1.14815303030303,,
50,敦厚里,1.19750008991965,,
51,敦化里,1.27313550827827,,
52,敦煌里,1.30583228368853,,
53,法治里,1.35811490392566,,
54,芳和里,1.28345294510695,,
55,豐年里,1.20297535459455,,
56,福安里,1.16859912674722,,
57,福成里,1.23305236329883,,
58,福德里,1.26943562679151,,
59,福華里,1.33584262631839,,
60,福佳里,1.26543025542068,,
61,福林里,1.43779103131637,,
62,福順里,1.51997171676679,,
63,福星里,1.17337610813965,,
64,福興里,1.24613491310277,,
65,福音里,1.33405280791333,,
66,福志里,1.27875364374403,,
67,福中里,1.22030259114301,,
68,福住里,1.38868149626375,,
69,富福里,1.28835242861053,,
70,富光里,1.16725233963057,,
71,富錦里,1.41252583540424,,
72,富民里,1.29267576374127,,
73,富水里,1.32324405353848,,
74,富台里,1.20869125412091,,
75,富泰里,1.22176099328239,,
76,富洲里,1.24704740006833,,
77,復華里,1.2510819528501,,
78,復建里,1.33976115921116,,
79,復盛里,1.27222782163524,,
80,復勢里,1.21487054136417,,
81,復源里,1.14549748917749,,
82,港都里,1.35098180184354,,
83,港富里,1.279323619804,,
84,港華里,1.33909070320432,,
85,港墘里,1.36118713016315,,
86,公館里,1.43946740758523,,
87,古風里,1.40509006132756,,
88,古莊里,1.26744279953372,,
89,關渡里,1.19705560104693,,
90,光復里,1.30842581523797,,
91,光明里,1.42958095238095,,
92,光能里,1.32467617058867,,
93,光武里,1.29089381291911,,
94,光信里,1.37922752201389,,
95,廣居里,1.23126808264596,,
96,國慶里,1.21300473066725,,
97,國順里,1.28517689497637,,
98,國業里,1.28145978142415,,
99,合成里,1.25630161148382,,
100,和安里,1.27793817691065,,
101,和德里,1.20227755109427,,
102,和平里,1.35620042152223,,
103,河堤里,1.35162201770452,,
104,恆安里,1.32405559398795,,
105,鴻福里,1.25221461814415,,
106,後港里,1.35831706058354,,
107,湖濱里,1.22646085076934,,
108,湖興里,1.24674725852822,,
109,湖元里,1.26227246053527,,
110,葫東里,1.44331877058222,,
111,葫蘆里,1.28837515820319,,
112,葫洲里,1.21569550904074,,
113,虎嘯里,1.31884867724868,,
114,華江里,1.18406623264275,,
115,華聲里,1.17925566510087,,
116,華興里,1.2663271778302,,
117,華中里,1.20535010722047,,
118,惠安里,1.32840272463151,,
119,吉利里,1.26206666666667,,
120,吉慶里,1.24005233987261,,
121,吉仁里,1.28644032265726,,
122,吉祥里,1.22655080741574,,
123,集英里,1.24548254396189,,
124,嘉興里,1.30677218242427,,
125,建安里,1.41719277312275,,
126,建功里,1.09757077203326,,
127,建國里,1.29310608501661,,
128,建倫里,1.37316412922342,,
129,建民里,1.33777313828645,,
130,建明里,1.2551973338524,,
131,建泰里,1.25857746031746,,
132,劍潭里,1.23698664593859,,
133,江寧里,1.21750127250308,,
134,江山里,1.367719214251,,
135,介壽里,1.24873533428955,,
136,金湖里,1.41359329685789,,
137,金龍里,1.46062192087969,,
138,金瑞里,1.3041300316285,,
139,金泰里,1.27355129590654,,
140,錦安里,1.43012640692641,,
141,錦德里,1.25009145655931,,
142,錦華里,1.15423333333333,,
143,錦泰里,1.19232288324421,,
144,菁山里,1.09211865079365,,
145,精忠里,1.26539580435858,,
146,景東里,1.18164263115411,,
