里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市萬華區和德里,99%,79%,100%,86%,100%,100%,99%,65
臺北市士林區社新里,87%,50%,94%,98%,99%,91%,0%,51
臺北市文山區明義里,0%,50%,73%,100%,99%,100%,100%,50
臺北市內湖區五分里,87%,0%,97%,98%,98%,97%,96%,49
臺北市文山區順興里,0%,95%,94%,98%,94%,54%,0%,47
臺北市大同區鄰江里,87%,99%,43%,98%,93%,94%,0%,47
臺北市中山區朱園里,,0%,,94%,100%,0%,0%,44
臺北市北投區溫泉里,87%,0%,43%,100%,86%,0%,1%,43
臺北市南港區成福里,0%,0%,0%,82%,100%,71%,1%,42
臺北市北投區永和里,0%,97%,94%,86%,91%,34%,63%,41
臺北市大同區雙連里,0%,0%,97%,86%,98%,78%,0%,41
臺北市士林區福順里,70%,0%,97%,94%,93%,97%,81%,41
臺北市士林區福華里,87%,97%,89%,76%,93%,78%,1%,41
臺北市松山區吉祥里,0%,91%,0%,94%,94%,0%,0%,39
臺北市中正區忠勤里,,97%,0%,94%,93%,97%,1%,39
臺北市士林區永倫里,0%,50%,43%,94%,96%,91%,0%,39
臺北市松山區安平里,0%,50%,89%,86%,94%,78%,1%,38
臺北市北投區關渡里,70%,,43%,100%,81%,86%,81%,38
臺北市北投區清江里,0%,0%,73%,91%,96%,99%,93%,38
臺北市內湖區港墘里,,,0%,86%,99%,0%,0%,38
臺北市士林區天玉里,,,100%,50%,99%,71%,0%,38
臺北市南港區九如里,99%,79%,43%,98%,70%,0%,0%,37
臺北市文山區試院里,0%,99%,73%,82%,81%,71%,0%,36
臺北市內湖區樂康里,,0%,43%,91%,96%,86%,0%,36
臺北市士林區後港里,70%,79%,0%,94%,88%,86%,63%,36
臺北市松山區慈祐里,,,73%,76%,98%,54%,0%,35
臺北市北投區中心里,0%,0%,0%,86%,96%,54%,1%,35
臺北市大安區龍生里,,0%,73%,70%,98%,54%,0%,35
臺北市士林區芝山里,,79%,0%,94%,91%,34%,63%,35
臺北市松山區復盛里,87%,,43%,91%,88%,0%,0%,34
臺北市松山區莊敬里,0%,99%,,97%,64%,78%,0%,34
臺北市內湖區瑞陽里,99%,91%,43%,70%,86%,54%,1%,34
臺北市中山區晴光里,70%,50%,73%,50%,96%,54%,81%,34
臺北市士林區社園里,,50%,97%,94%,70%,91%,0%,34
臺北市士林區明勝里,,0%,43%,97%,88%,94%,81%,34
臺北市萬華區華江里,0%,97%,73%,76%,76%,86%,0%,33
臺北市信義區泰和里,0%,79%,43%,94%,76%,71%,63%,33
臺北市文山區興旺里,0%,50%,0%,91%,88%,34%,0%,33
臺北市文山區木新里,87%,95%,0%,94%,55%,0%,0%,33
臺北市信義區三張里,87%,0%,97%,82%,64%,34%,1%,32
