里,,,兒童暴力,老人暴力,親密暴力,家庭非上述暴力,其它
市佔,,,9%,6%,51%,4%,29%
臺北市信義區西村里,274,274,11%,9%,46%,5%,29%
臺北市萬華區和德里,64,64,14%,3%,61%,5%,17%
臺北市內湖區五分里,49,49,14%,2%,47%,6%,31%
臺北市士林區社新里,49,49,10%,4%,49%,4%,33%
臺北市中山區劍潭里,48,48,10%,4%,52%,2%,31%
臺北市大同區鄰江里,47,47,4%,15%,40%,9%,32%
臺北市士林區福華里,47,47,17%,13%,43%,6%,21%
臺北市松山區自強里,45,45,7%,4%,49%,4%,36%
臺北市中山區朱園里,45,45,0%,2%,67%,0%,31%
臺北市北投區溫泉里,44,44,7%,2%,36%,7%,48%
臺北市北投區永和里,44,44,16%,14%,41%,2%,27%
臺北市大安區龍生里,44,44,14%,2%,59%,0%,25%
臺北市大同區雙連里,44,44,20%,2%,50%,5%,23%
臺北市南港區成福里,42,42,2%,2%,69%,2%,24%
臺北市信義區松友里,42,42,5%,5%,57%,5%,29%
臺北市士林區永倫里,42,42,10%,5%,52%,2%,31%
臺北市萬華區日善里,41,41,22%,5%,44%,5%,24%
臺北市士林區福順里,41,41,20%,2%,46%,5%,27%
臺北市北投區關渡里,40,40,10%,0%,38%,8%,45%
臺北市南港區九如里,39,39,5%,8%,36%,10%,41%
臺北市松山區吉祥里,39,39,3%,10%,51%,3%,33%
臺北市士林區天玉里,39,39,21%,0%,64%,0%,15%
臺北市松山區安平里,38,38,11%,5%,53%,3%,29%
臺北市北投區清江里,38,38,11%,3%,53%,3%,32%
臺北市文山區順興里,37,37,19%,11%,38%,0%,32%
臺北市文山區明義里,37,37,5%,3%,54%,3%,35%
臺北市內湖區寶湖里,37,37,8%,5%,59%,3%,24%
臺北市松山區慈祐里,36,36,11%,0%,64%,0%,25%
臺北市文山區萬芳里,36,36,19%,3%,42%,14%,22%
臺北市內湖區樂康里,36,36,6%,3%,58%,3%,31%
臺北市內湖區港墘里,36,36,3%,0%,69%,0%,28%
臺北市大同區南芳里,36,36,8%,3%,56%,6%,28%
臺北市士林區芝山里,36,36,3%,8%,53%,3%,33%
臺北市松山區莊敬里,35,35,0%,20%,37%,3%,40%
臺北市北投區中心里,35,35,3%,3%,60%,6%,29%
臺北市內湖區港富里,35,35,9%,0%,46%,9%,37%
臺北市中正區忠勤里,35,35,3%,14%,49%,0%,34%
臺北市中山區晴光里,35,35,9%,6%,63%,6%,17%
臺北市士林區後港里,35,35,3%,9%,46%,9%,34%
臺北市萬華區華江里,34,34,12%,18%,41%,9%,21%
臺北市松山區復盛里,34,34,6%,0%,50%,12%,32%
