里,兄弟姊妹間暴力,老人保護,兒少保護,親密關係,其他家虐,低收,障礙,各里總案件數,全部案件類型,女,男,小於18歲,18到65歲,大於65歲
臺北市萬華區和德里,99%,79%,100%,100%,86%,100%,99%,65,,75.38%,24.62%,15%,71%,14%
臺北市士林區社新里,87%,50%,94%,99%,98%,91%,0%,51,,64.71%,35.29%,10%,78%,12%
臺北市文山區明義里,0%,50%,73%,99%,100%,100%,100%,50,,82.00%,18.00%,6%,86%,8%
臺北市內湖區五分里,87%,0%,97%,98%,98%,97%,96%,49,,75.51%,24.49%,18%,78%,4%
臺北市文山區順興里,0%,95%,94%,94%,98%,54%,0%,47,,55.32%,42.55%,11%,70%,19%
臺北市大同區鄰江里,87%,99%,43%,93%,98%,94%,0%,47,,68.09%,31.91%,9%,72%,19%
臺北市中山區朱園里,,0%,,100%,94%,0%,0%,44,,70.45%,29.55%,9%,80%,11%
臺北市北投區溫泉里,87%,0%,43%,86%,100%,0%,1%,43,,67.44%,32.56%,7%,84%,9%
臺北市南港區成福里,0%,0%,0%,100%,82%,71%,1%,42,,83.33%,16.67%,2%,88%,10%
臺北市北投區永和里,0%,97%,94%,91%,86%,34%,63%,41,,73.17%,26.83%,20%,73%,7%
臺北市大同區雙連里,0%,0%,97%,98%,86%,78%,0%,41,,65.85%,31.71%,12%,63%,24%
臺北市士林區福順里,70%,0%,97%,93%,94%,97%,81%,41,,48.78%,51.22%,12%,63%,24%
臺北市士林區福華里,87%,97%,89%,93%,76%,78%,1%,41,,63.41%,31.71%,24%,61%,15%
臺北市松山區吉祥里,0%,91%,0%,94%,94%,0%,0%,39,,69.23%,28.21%,8%,79%,13%
臺北市中正區忠勤里,,97%,0%,93%,94%,97%,1%,39,,69.23%,30.77%,15%,64%,21%
臺北市士林區永倫里,0%,50%,43%,96%,94%,91%,0%,39,,61.54%,38.46%,10%,74%,15%
臺北市松山區安平里,0%,50%,89%,94%,86%,78%,1%,38,,65.79%,34.21%,8%,82%,11%
臺北市北投區關渡里,70%,,43%,81%,100%,86%,81%,38,,71.05%,28.95%,21%,71%,8%
臺北市北投區清江里,0%,0%,73%,96%,91%,99%,93%,38,,68.42%,28.95%,13%,79%,8%
臺北市內湖區港墘里,,,0%,99%,86%,0%,0%,38,,60.53%,39.47%,13%,82%,5%
臺北市士林區天玉里,,,100%,99%,50%,71%,0%,38,,68.42%,28.95%,3%,61%,37%
臺北市南港區九如里,99%,79%,43%,70%,98%,0%,0%,37,,67.57%,32.43%,19%,65%,16%
臺北市文山區試院里,0%,99%,73%,81%,82%,71%,0%,36,,58.33%,38.89%,8%,67%,25%
臺北市內湖區樂康里,,0%,43%,96%,91%,86%,0%,36,,63.89%,36.11%,0%,81%,19%
臺北市士林區後港里,70%,79%,0%,88%,94%,86%,63%,36,,72.22%,27.78%,8%,78%,14%
臺北市松山區慈祐里,,,73%,98%,76%,54%,0%,35,,65.71%,31.43%,6%,89%,6%
臺北市北投區中心里,0%,0%,0%,96%,86%,54%,1%,35,,74.29%,25.71%,9%,80%,11%
臺北市大安區龍生里,,0%,73%,98%,70%,54%,0%,35,,62.86%,37.14%,20%,74%,6%
臺北市士林區芝山里,,79%,0%,91%,94%,34%,63%,35,,82.86%,17.14%,6%,91%,3%
臺北市松山區復盛里,87%,,43%,88%,91%,0%,0%,34,,64.71%,32.35%,6%,71%,24%
臺北市松山區莊敬里,0%,99%,,64%,97%,78%,0%,34,,79.41%,20.59%,12%,79%,9%
臺北市內湖區瑞陽里,99%,91%,43%,86%,70%,54%,1%,34,,82.35%,14.71%,15%,76%,9%
臺北市中山區晴光里,70%,50%,73%,96%,50%,54%,81%,34,,76.47%,23.53%,24%,71%,6%
臺北市士林區社園里,,50%,97%,70%,94%,91%,0%,34,,76.47%,23.53%,6%,71%,24%
臺北市士林區明勝里,,0%,43%,88%,97%,94%,81%,34,,41.18%,58.82%,6%,74%,21%
臺北市萬華區華江里,0%,97%,73%,76%,76%,86%,0%,33,,72.73%,27.27%,15%,73%,12%
臺北市信義區泰和里,0%,79%,43%,76%,94%,71%,63%,33,,63.64%,33.33%,6%,73%,21%
臺北市文山區興旺里,0%,50%,0%,88%,91%,34%,0%,33,,69.70%,30.30%,6%,58%,36%
臺北市文山區木新里,87%,95%,0%,55%,94%,0%,0%,33,,63.64%,36.36%,3%,73%,24%
臺北市信義區三張里,87%,0%,97%,64%,82%,34%,1%,32,,59.38%,40.63%,6%,78%,16%
臺北市松山區民福里,0%,50%,43%,81%,91%,91%,1%,32,,59.38%,40.63%,13%,75%,13%
臺北市文山區萬美里,0%,99%,43%,70%,76%,86%,96%,32,,68.75%,25.00%,0%,97%,3%
臺北市文山區萬芳里,99%,50%,94%,64%,76%,86%,63%,32,,65.63%,34.38%,6%,88%,6%
臺北市內湖區港富里,87%,,43%,81%,91%,0%,0%,32,,75.00%,21.88%,13%,75%,13%
臺北市內湖區西康里,0%,,0%,94%,82%,0%,1%,32,,56.25%,43.75%,22%,72%,6%
臺北市大同區星明里,,50%,73%,81%,91%,71%,1%,32,,59.38%,40.63%,3%,75%,22%
臺北市大同區至聖里,0%,50%,43%,86%,86%,71%,63%,32,,75.00%,21.88%,9%,75%,16%
臺北市南港區舊莊里,0%,,43%,98%,39%,78%,0%,31,,67.74%,32.26%,10%,77%,13%
